symbol,timestamp_utc,air_temp_3m,rel_hum_3m,wind_spd_avg,wind_spd_max,wind_direction,barom_pres,sw_rad_in,battv_min
BOYM,2026-06-09 04:00:00+00,-31.06,65.75,2.912112,5.029128,163.7,981.7808,0,12.56
BOYM,2026-06-09 03:45:00+00,-31.62,67.43,2.153952,4.076568,157.2,981.6904,0,12.58
BOYM,2026-06-09 03:30:00+00,-31.72,67.15,0.853416,2.515536,173.8,981.6383,0,12.58
BOYM,2026-06-09 03:15:00+00,-31.44,66.26,0.972,2.286144,141.3,981.568,0,12.58
BOYM,2026-06-09 03:00:00+00,-30.84,67.29,1.397736,2.437776,123.6,981.5443,0.001,12.58
BOYM,2026-06-09 02:45:00+00,-31.24,65.88,0.746496,2.056752,159.5,981.5311,0,12.58
BOYM,2026-06-09 02:30:00+00,-30.42,64.57,2.093688,3.886056,166.8,981.4149,0,12.58
BOYM,2026-06-09 02:15:00+00,-30.03,65.78,2.07036,3.658608,145.5,981.4475,0,12.58
BOYM,2026-06-09 02:00:00+00,-30.6,63.13,1.5066,3.468096,159.5,981.5296,0,12.59
BOYM,2026-06-09 01:45:00+00,-30.12,65.25,2.482488,4.076568,173.1,981.5216,0,12.58
BOYM,2026-06-09 01:30:00+00,-30.14,66.02,1.115856,2.476656,186.4,981.4821,0,12.59
BOYM,2026-06-09 01:15:00+00,-30.07,63.59,1.327752,2.591352,55.18,981.4041,0,12.59
BOYM,2026-06-09 01:00:00+00,-29.53,61.82,3.339792,5.67648,84.7,981.5187,0,12.59
BOYM,2026-06-09 00:45:00+00,-29.46,63.48,3.705264,5.524848,71.07,981.6677,0,12.59
BOYM,2026-06-09 00:30:00+00,-29.14,62.2,3.627504,5.71536,71.86,981.5565,0,12.59
BOYM,2026-06-09 00:15:00+00,-28.9,62.93,4.556736,7.315272,82.1,981.3469,0,12.59
BOYM,2026-06-09 00:00:00+00,-28.63,63.83,6.59016,9.335088,75.5,981.322,0.001,12.59
BOYM,2026-06-08 23:45:00+00,-28.35,64.23,6.527952,9.48672,62.49,981.2772,0.001,12.59
BOYM,2026-06-08 23:30:00+00,-28.06,64.77,6.086664,8.61192,72.97,981.2809,0.001,12.59
BOYM,2026-06-08 23:15:00+00,-27.83,65.59,5.995296,8.57304,73.13,981.2068,0.001,12.59
BOYM,2026-06-08 23:00:00+00,-27.82,66.67,5.499576,7.849872,66.1,981.2555,0.001,12.59
BOYM,2026-06-08 22:45:00+00,-27.6,66.69,6.179976,8.954064,35.07,981.2331,0,12.59
BOYM,2026-06-08 22:30:00+00,-27.52,67.62,4.327344,7.278336,50.51,981.1498,0.001,12.6
BOYM,2026-06-08 22:15:00+00,-27.66,68.95,3.7422,8.07732,66.15,980.9758,0.001,12.59
BOYM,2026-06-08 22:00:00+00,-27.81,69.29,5.332392,9.449784,9.55,980.9702,0.002,12.59
BOYM,2026-06-08 21:45:00+00,-27.72,69.86,4.788072,8.040384,36.62,980.874,0.001,12.59
BOYM,2026-06-08 21:30:00+00,-27.82,70.3,3.46032,6.743736,62.96,980.7813,0.001,12.59
BOYM,2026-06-08 21:15:00+00,-27.88,70.05,2.737152,3.658608,65.11,980.8201,0.001,12.6
BOYM,2026-06-08 21:00:00+00,-27.7,69.81,2.593296,3.77136,54.2,980.9402,0.001,12.6
BOYM,2026-06-08 20:45:00+00,-27.62,69.42,0.639576,2.286144,65.59,980.9052,0.001,12.6
BOYM,2026-06-08 20:30:00+00,-27.61,69.68,1.537704,2.742984,215.5,980.7792,0.001,12.6
BOYM,2026-06-08 20:15:00+00,-27.7,69.87,0.561816,1.638792,139.3,980.7461,0.002,12.6
BOYM,2026-06-08 20:00:00+00,-27.64,69.89,1.518264,2.325024,51.71,980.7025,0.002,12.6
BOYM,2026-06-08 19:45:00+00,-27.64,69.82,1.634904,2.742984,60.1,980.8091,0.002,12.6
BOYM,2026-06-08 19:30:00+00,-27.57,69.63,3.378672,5.334336,20.99,980.9059,0.003,12.6
BOYM,2026-06-08 19:15:00+00,-27.58,69.23,2.499984,5.524848,40.64,980.9398,0.003,12.6
BOYM,2026-06-08 19:00:00+00,-27.4,68.72,4.105728,8.687736,49.06,981.031,0.001,12.6
BOYM,2026-06-08 18:45:00+00,-27.32,69.98,3.444768,8.992944,23.85,980.9938,0.003,12.6
BOYM,2026-06-08 18:30:00+00,-27.52,69.82,5.927256,8.497224,22.57,980.9478,0.002,12.6
BOYM,2026-06-08 18:15:00+00,-27.52,70.04,6.49296,10.97388,38.12,980.7136,0.001,12.6
BOYM,2026-06-08 18:00:00+00,-27.52,70.27,6.947856,10.287648,40.27,980.6946,0.002,12.6
BOYM,2026-06-08 17:45:00+00,-27.19,70.12,6.335496,9.601416,40.43,980.6752,0.002,12.6
BOYM,2026-06-08 17:30:00+00,-27.41,71.02,7.845984,10.211832,38.94,980.6709,0.002,12.6
BOYM,2026-06-08 17:15:00+00,-27.47,71.19,6.615432,10.248768,33.15,980.5803,0.004,12.6
BOYM,2026-06-08 17:00:00+00,-27.33,70.94,6.769008,9.906624,40.89,980.5411,0.003,12.61
BOYM,2026-06-08 16:45:00+00,-27.1,70.57,8.713008,12.38328,36,980.4507,0.003,12.61
BOYM,2026-06-08 16:30:00+00,-26.35,71.26,3.380616,9.144576,41.61,980.2495,0.001,12.61
BOYM,2026-06-08 16:15:00+00,-26.31,71.35,1.452168,3.162888,49.88,980.1285,0.001,12.6
BOYM,2026-06-08 16:00:00+00,-26.21,70.31,2.98404,3.924936,49.91,980.209,0.001,12.61
BOYM,2026-06-08 15:45:00+00,-26,71.16,3.306744,4.26708,77.07,980.1171,0.002,12.61
BOYM,2026-06-08 15:30:00+00,-26.37,71.8,3.009312,4.457592,58.37,980.0273,0.001,12.61
BOYM,2026-06-08 15:15:00+00,-26.23,71.34,2.315304,3.543912,48.57,980.0845,0.001,12.61
BOYM,2026-06-08 15:00:00+00,-26.27,72.21,3.37284,4.191264,68.32,980.1988,0.001,12.61
BOYM,2026-06-08 14:45:00+00,-26.27,71.86,3.026808,4.381776,45.18,980.2085,0.002,12.61
BOYM,2026-06-08 14:30:00+00,-26.17,71.36,0.318816,1.90512,55.08,980.3197,0.002,12.61
BOYM,2026-06-08 14:15:00+00,-26.07,71.07,0.425736,1.599912,90.1,980.3025,0.001,12.61
BOYM,2026-06-08 14:00:00+00,-26.22,71.8,1.735992,3.009312,198.8,980.3432,0.002,12.61
BOYM,2026-06-08 13:45:00+00,-26.25,71.88,2.24532,3.009312,232.1,980.4684,0.003,12.61
BOYM,2026-06-08 13:30:00+00,-26.33,71.63,2.542752,3.31452,194.3,980.5699,0.001,12.61
BOYM,2026-06-08 13:15:00+00,-26.32,72.09,3.205656,4.838616,216.1,980.566,0.001,12.61
BOYM,2026-06-08 13:00:00+00,-26.41,72.35,2.078136,3.886056,227.3,980.5156,0.002,12.61
BOYM,2026-06-08 12:45:00+00,-26.37,72.52,1.947888,3.199824,265.3,980.6293,0.002,12.62
BOYM,2026-06-08 12:30:00+00,-26.46,72.33,0.176904,1.257768,329.4,980.5911,0.001,12.62
BOYM,2026-06-08 12:15:00+00,-26.42,72.45,1.306368,2.781864,1.701,980.5211,0.001,12.62
BOYM,2026-06-08 12:00:00+00,-26.63,72.47,0.550152,1.599912,232.8,980.6047,0.001,12.62
BOYM,2026-06-08 11:45:00+00,-26.59,72.55,0.454896,2.056752,291.2,980.6338,0.002,12.62
BOYM,2026-06-08 11:30:00+00,-26.6,72.43,1.111968,2.171448,47.04,980.6342,0.002,12.61
BOYM,2026-06-08 11:15:00+00,-26.69,72.61,1.094472,2.134512,30.77,980.6951,0.002,12.62
BOYM,2026-06-08 11:00:00+00,-26.79,72.48,1.141128,3.199824,80.5,980.6561,0.002,12.62
BOYM,2026-06-08 10:45:00+00,-26.67,72.77,3.749976,5.639544,46.82,980.7693,0.001,12.62
BOYM,2026-06-08 10:30:00+00,-26.77,72.84,3.7908,4.914432,49.52,980.8184,0.001,12.62
BOYM,2026-06-08 10:15:00+00,-26.76,72.83,5.758128,7.391088,39.31,980.9117,0.001,12.62
BOYM,2026-06-08 10:00:00+00,-26.56,72.86,3.740256,7.696296,40.54,980.8857,0.001,12.62
BOYM,2026-06-08 09:45:00+00,-26.74,73.37,2.947104,7.5816,53.84,980.8544,0.003,12.62
BOYM,2026-06-08 09:30:00+00,-27.1,71.91,4.070736,9.677232,41.12,980.9214,0.003,12.63
BOYM,2026-06-08 09:15:00+00,-26.13,72.34,3.04236,7.391088,341.1,980.9012,0.002,12.62
BOYM,2026-06-08 09:00:00+00,-26.23,72.34,2.387232,4.381776,202.9,980.8573,0.001,12.62
BOYM,2026-06-08 08:45:00+00,-25.88,72,2.266704,4.457592,207,980.7643,0.002,12.63
BOYM,2026-06-08 08:30:00+00,-26.16,71.68,1.629072,3.658608,176.4,980.8489,0,12.62
BOYM,2026-06-08 08:15:00+00,-25.71,71.64,3.127896,5.449032,73.78,980.9302,0,12.62
BOYM,2026-06-08 08:00:00+00,-26.05,72.58,3.734424,6.135264,88.2,980.8926,0.001,12.63
BOYM,2026-06-08 07:45:00+00,-26.2,71.75,2.159784,3.961872,79.26,981.032,0,12.63
BOYM,2026-06-08 07:30:00+00,-25.94,73.03,1.922616,4.611168,110.3,980.9098,0.001,12.63
BOYM,2026-06-08 07:15:00+00,-26.34,72.34,2.958768,5.25852,65.46,980.8542,0.001,12.63
BOYM,2026-06-08 07:00:00+00,-26.23,72.63,2.270592,3.3534,94.7,981.0753,0.001,12.63
BOYM,2026-06-08 06:45:00+00,-25.74,72.19,2.153952,3.77136,18.9,981.1512,0.001,12.63
BOYM,2026-06-08 06:30:00+00,-26.12,72.95,1.732104,3.658608,137.6,981.2119,0.001,12.63
BOYM,2026-06-08 06:15:00+00,-25.9,72.84,0.173016,1.333584,162.5,981.2823,0,12.63
BOYM,2026-06-08 06:00:00+00,-26.05,73.39,1.104192,2.325024,148.8,981.3666,0,12.63
BOYM,2026-06-08 05:45:00+00,-26.14,73.2,0.902016,1.90512,57.53,981.4517,0.001,12.63
BOYM,2026-06-08 05:30:00+00,-26.02,72.19,0.104976,0.837864,340.3,981.7068,0.001,12.64
BOYM,2026-06-08 05:15:00+00,-25.83,72,0.57348,1.638792,148,981.755,0.001,12.64
BOYM,2026-06-08 05:00:00+00,-25.91,72.6,1.216944,2.325024,85.1,981.8021,0.001,12.63
BOYM,2026-06-08 04:45:00+00,-25.98,72.03,1.644624,2.437776,68.63,981.8287,0.001,12.64
BOYM,2026-06-08 04:30:00+00,-25.48,71.49,1.977048,3.199824,88.5,981.9449,0.001,12.63
BOYM,2026-06-08 04:15:00+00,-25.69,72.43,2.742984,3.924936,77.77,981.9667,0.001,12.62
BOYM,2026-06-09 23:15:00+00,-24.14,25.98,8.722728,14.24952,181.8,981.6658,0,12.53
BOYM,2026-06-09 23:00:00+00,-24.2,25.72,11.096352,15.392592,194.1,981.4139,0,12.54
BOYM,2026-06-09 22:45:00+00,-24.13,26.14,10.870848,20.43144,202.7,981.5469,0,12.53
BOYM,2026-06-09 22:30:00+00,-24.41,26.55,12.37356,18.44856,199.5,981.7936,0,12.54
BOYM,2026-06-09 22:15:00+00,-24.49,26.72,13.077288,21.07296,214,981.772,0,12.54
BOYM,2026-06-09 22:00:00+00,-24.26,26.31,11.574576,18.70128,203.8,981.5632,0,12.53
BOYM,2026-06-09 21:45:00+00,-24.45,27.22,16.89336,24.16392,225.4,981.6314,0,12.53
