symbol,timestamp_utc,air_temp_3m,rel_hum_3m,wind_spd_avg,wind_spd_max,wind_direction,sw_rad_in,battv_min
BRHM,2026-04-26T04:00:00+13:00,-39.12,65.35,0.993,1.411,251.9,0.001,12.59
BRHM,2026-04-26T03:45:00+13:00,-39.36,65.25,0.747,1.333,325.0,0.001,12.59
BRHM,2026-04-26T03:30:00+13:00,-39.93,64.59,0.743,1.392,21.41,0.003,12.6
BRHM,2026-04-26T03:15:00+13:00,-39.54,65.13,0.27,1.039,237.4,0.001,12.59
BRHM,2026-04-26T03:00:00+13:00,-40.25,64.32,0.367,0.764,197.8,0.004,12.6
BRHM,2026-04-26T02:45:00+13:00,-40.25,64.14,0.272,0.98,194.5,0.004,12.6
BRHM,2026-04-26T02:30:00+13:00,-38.87,65.61,1.51,2.097,320.0,0.002,12.6
BRHM,2026-04-26T02:15:00+13:00,-39.09,65.41,1.184,2.45,313.8,0.002,12.6
BRHM,2026-04-26T02:00:00+13:00,-40.0,64.62,0.721,1.235,232.1,0.006,12.6
BRHM,2026-04-26T01:45:00+13:00,-40.16,64.4,0.48,1.274,191.6,0.009,12.6
BRHM,2026-04-26T01:30:00+13:00,-39.35,65.16,0.548,1.215,295.8,0.004,12.6
BRHM,2026-04-26T01:15:00+13:00,-39.29,65.0,0.912,1.47,248.2,0.003,12.6
BRHM,2026-04-26T01:00:00+13:00,-38.94,65.28,1.091,1.588,252.9,0.005,12.6
BRHM,2026-04-26T00:45:00+13:00,-39.23,64.72,0.876,1.98,306.9,0.013,12.6
BRHM,2026-04-26T00:30:00+13:00,-38.41,65.34,0.755,1.627,229.0,0.008,12.6
BRHM,2026-04-26T00:15:00+13:00,-37.47,66.27,1.074,1.862,252.3,0.003,12.6
BRHM,2026-04-26T00:00:00+13:00,-37.21,66.64,0.548,1.744,325.9,0.004,12.6
BRHM,2026-04-25T23:45:00+13:00,-37.68,66.13,0.182,0.725,299.9,0.003,12.6
BRHM,2026-04-25T23:30:00+13:00,-37.56,66.02,0.308,1.235,126.2,0.004,12.6
BRHM,2026-04-25T23:15:00+13:00,-36.94,66.82,0.727,1.137,191.0,0.0,12.6
BRHM,2026-04-25T23:00:00+13:00,-37.47,66.36,1.701,2.038,344.2,0.0,12.6
BRHM,2026-04-25T22:45:00+13:00,-38.3,65.64,0.82,1.568,352.0,0.004,12.6
BRHM,2026-04-25T22:30:00+13:00,-38.05,66.01,0.425,0.941,181.1,0.002,12.6
BRHM,2026-04-25T22:15:00+13:00,-38.35,65.63,0.877,1.764,300.5,0.005,12.6
BRHM,2026-04-25T22:00:00+13:00,-38.15,65.61,0.586,1.352,221.0,0.004,12.6
BRHM,2026-04-25T21:45:00+13:00,-37.81,65.95,1.068,1.666,246.9,0.003,12.6
BRHM,2026-04-25T21:30:00+13:00,-37.61,65.95,1.085,1.411,263.4,0.003,12.6
