symbol,timestamp_utc,air_temp_3m,rel_hum_3m,wind_spd_avg,wind_spd_max,wind_direction,sw_rad_in,battv_min
CAAM,2026-04-23 00:15:00+00,-27.93,67.7,1.06,2.489,303.7,7.451,12.7
CAAM,2026-04-23 00:00:00+00,-28.68,65.84,1.672,3.469,309.1,6.877,12.71
CAAM,2026-04-22 23:45:00+00,-28.0,68.65,2.519,3.606,311.4,6.166,12.71
CAAM,2026-04-22 23:30:00+00,-29.32,69.35,1.585,2.195,306.1,5.334,12.71
CAAM,2026-04-22 23:15:00+00,-28.74,67.74,1.685,2.764,305.3,4.425,12.7
CAAM,2026-04-22 23:00:00+00,-28.04,70.72,1.048,1.725,308.9,3.482,12.7
CAAM,2026-04-22 22:45:00+00,-30.27,70.78,1.427,1.823,307.8,2.594,12.7
CAAM,2026-04-22 22:30:00+00,-29.79,67.82,1.983,3.332,306.9,1.829,12.69
CAAM,2026-04-22 22:15:00+00,-28.21,69.81,1.091,1.509,307.4,1.189,12.7
CAAM,2026-04-22 22:00:00+00,-29.08,69.67,1.344,1.901,308.1,0.698,12.69
CAAM,2026-04-22 21:45:00+00,-29.03,69.76,1.534,1.98,307.0,0.355,12.69
CAAM,2026-04-22 21:30:00+00,-28.84,71.04,1.2,2.038,307.4,0.147,12.69
CAAM,2026-04-22 21:15:00+00,-29.38,71.56,1.016,1.686,307.5,0.057,12.69
CAAM,2026-04-22 21:00:00+00,-29.32,71.07,1.574,2.215,308.5,0.019,12.69
CAAM,2026-04-22 20:45:00+00,-29.42,70.37,1.26,1.784,307.8,0.004,12.7
CAAM,2026-04-22 20:30:00+00,-28.45,70.13,1.908,2.724,312.4,0.003,12.69
CAAM,2026-04-22 20:15:00+00,-28.89,73.27,1.779,2.685,315.9,0.003,12.69
CAAM,2026-04-22 20:00:00+00,-29.47,72.51,1.216,2.078,308.4,0.001,12.7
CAAM,2026-04-22 19:45:00+00,-29.55,72.2,1.293,1.94,309.0,0.001,12.69
CAAM,2026-04-22 19:30:00+00,-30.06,71.61,1.558,2.234,310.5,0.0,12.69
CAAM,2026-04-22 19:15:00+00,-30.01,70.17,1.526,2.254,307.5,0.0,12.7
CAAM,2026-04-22 19:00:00+00,-28.84,72.23,1.08,1.96,313.9,0.001,12.69
CAAM,2026-04-22 18:45:00+00,-28.87,74.19,1.771,2.156,316.9,0.001,12.7
CAAM,2026-04-22 18:30:00+00,-29.28,72.22,1.411,1.921,315.6,0.001,12.7
CAAM,2026-04-22 18:15:00+00,-29.79,71.06,1.21,1.548,311.7,0.001,12.7
CAAM,2026-04-22 18:00:00+00,-29.45,72.62,0.925,1.372,309.5,0.0,12.7
CAAM,2026-04-22 17:45:00+00,-29.42,70.2,0.378,1.372,312.4,0.001,12.7
