symbol,timestamp_utc,air_temp_3m,rel_hum_3m,wind_spd_avg,wind_spd_max,wind_direction,battv_min
COHM,2026-04-12 23:00:00+00,-22.37,52.68,2.978,4.234,309.7,12.54
COHM,2026-04-12 22:45:00+00,-23.03,54.49,3.002,4.782,310.3,12.54
COHM,2026-04-12 22:30:00+00,-23.83,54.21,5.148,6.586,310.4,12.54
COHM,2026-04-12 22:15:00+00,-23.92,54.64,5.242,5.9,311.5,12.55
COHM,2026-04-12 22:00:00+00,-24.63,55.96,5.563,6.488,311.1,12.55
COHM,2026-04-12 21:45:00+00,-24.29,56.86,4.713,6.017,313.2,12.55
COHM,2026-04-12 21:30:00+00,-24.53,57.34,5.51,6.527,312.7,12.55
COHM,2026-04-12 21:15:00+00,-23.65,54.07,5.239,6.409,311.9,12.55
COHM,2026-04-12 21:00:00+00,-22.99,51.07,3.966,5.939,312.2,12.55
COHM,2026-04-12 20:45:00+00,-21.97,50.2,2.134,3.293,319.6,12.56
COHM,2026-04-12 20:30:00+00,-22.13,50.9,2.143,3.41,314.2,12.56
COHM,2026-04-12 20:15:00+00,-22.61,50.9,2.946,4.332,314.6,12.56
COHM,2026-04-12 20:00:00+00,-22.23,48.69,2.756,3.744,313.9,12.57
COHM,2026-04-12 19:45:00+00,-21.82,48.32,1.683,3.116,321.6,12.56
COHM,2026-04-12 19:30:00+00,-22.11,48.71,1.067,1.94,338.2,12.57
COHM,2026-04-12 19:15:00+00,-21.62,47.87,1.211,2.156,8.02,12.57
COHM,2026-04-12 19:00:00+00,-21.48,48.44,1.107,2.528,359.3,12.57
COHM,2026-04-12 18:45:00+00,-21.29,45.18,1.297,2.705,316.5,12.59
COHM,2026-04-12 18:30:00+00,-20.31,43.61,2.35,3.9,313.0,12.59
COHM,2026-04-12 18:15:00+00,-20.5,44.03,2.937,3.822,313.1,12.59
COHM,2026-04-12 18:00:00+00,-21.53,47.74,3.254,4.39,311.4,12.6
COHM,2026-04-12 17:45:00+00,-22.06,46.81,4.876,5.684,312.4,12.6
COHM,2026-04-12 17:30:00+00,-20.62,43.32,4.06,5.135,312.5,12.61
COHM,2026-04-12 17:15:00+00,-20.75,42.75,3.338,3.979,312.8,12.62
COHM,2026-04-12 17:00:00+00,-20.41,42.36,2.726,3.43,312.8,12.63
COHM,2026-04-12 16:45:00+00,-20.32,42.46,1.799,2.744,313.1,12.63
COHM,2026-04-12 16:30:00+00,-20.8,43.62,2.798,4.645,312.5,12.64
COHM,2026-04-12 16:15:00+00,-21.44,45.03,3.992,4.959,311.5,12.64
COHM,2026-04-12 16:00:00+00,-22.16,47.93,4.174,5.449,311.1,12.64
COHM,2026-04-12 15:45:00+00,-21.68,44.13,4.278,5.37,312.4,12.64
COHM,2026-04-12 15:30:00+00,-20.95,42.19,3.89,5.057,312.7,12.64
COHM,2026-04-12 15:15:00+00,-20.41,42.27,3.692,5.155,313.0,12.64
COHM,2026-04-12 15:00:00+00,-20.54,49.48,2.96,4.841,319.2,12.63
COHM,2026-04-12 14:45:00+00,-20.57,55.33,2.392,3.116,347.1,12.64
COHM,2026-04-12 14:30:00+00,-20.66,41.84,3.309,4.704,320.0,12.63
COHM,2026-04-12 14:15:00+00,-19.51,37.19,3.357,5.527,311.4,12.63
COHM,2026-04-12 14:00:00+00,-18.07,33.81,1.716,2.568,310.5,12.63
COHM,2026-04-12 13:45:00+00,-18.43,35.68,1.675,2.626,316.3,12.62
COHM,2026-04-12 13:30:00+00,-18.99,37.02,1.929,2.901,329.6,12.6
COHM,2026-04-12 13:15:00+00,-18.79,37.12,1.683,2.842,327.3,12.55
COHM,2026-04-12 13:00:00+00,-19.8,40.24,3.176,4.371,312.2,12.56
COHM,2026-04-12 12:45:00+00,-19.73,40.81,1.882,3.391,328.0,12.59
COHM,2026-04-12 12:30:00+00,-20.55,43.79,4.445,6.154,316.1,12.58
COHM,2026-04-12 12:15:00+00,-21.23,45.68,6.095,7.193,311.1,12.57
COHM,2026-04-12 12:00:00+00,-21.6,44.37,6.331,7.134,311.5,12.56
COHM,2026-04-12 11:45:00+00,-19.1,36.55,5.236,6.899,311.9,12.55
COHM,2026-04-12 11:30:00+00,-19.74,38.23,4.891,6.076,312.1,12.55
COHM,2026-04-12 11:15:00+00,-18.96,36.36,3.402,5.351,311.4,12.55
COHM,2026-04-12 11:00:00+00,-19.99,37.87,3.735,5.821,309.9,12.54
COHM,2026-04-12 10:45:00+00,-19.5,37.17,4.641,6.331,307.1,12.54
COHM,2026-04-12 10:30:00+00,-20.5,39.33,5.531,6.272,311.4,12.55
COHM,2026-04-12 10:15:00+00,-20.18,38.37,5.201,5.939,311.1,12.54
COHM,2026-04-12 10:00:00+00,-19.09,35.58,3.694,5.743,299.1,12.54
COHM,2026-04-12 09:45:00+00,-18.65,34.15,3.612,4.939,294.0,12.54
COHM,2026-04-12 09:30:00+00,-18.6,33.68,3.939,5.841,306.5,12.54
COHM,2026-04-12 09:15:00+00,-18.37,32.5,2.983,5.292,299.7,12.54
COHM,2026-04-12 09:00:00+00,-18.5,32.6,1.487,3.097,305.2,12.54
COHM,2026-04-12 08:45:00+00,-18.48,32.16,1.176,3.665,297.5,12.54
COHM,2026-04-12 08:30:00+00,-18.55,31.82,0.935,3.156,286.2,12.54
COHM,2026-04-12 08:15:00+00,-18.61,31.79,1.166,3.234,314.3,12.54
COHM,2026-04-12 08:00:00+00,-19.24,33.05,0.54,2.078,288.7,12.54
