symbol,timestamp_utc,air_temp_3m,rel_hum_3m,wind_spd_avg,wind_spd_max,wind_direction,sw_rad_in,battv_min
EXEM,2026-04-21T11:00:00+13:00,-30.86,72.34,0.215,1.019,49.2,0.676,12.64
EXEM,2026-04-21T10:45:00+13:00,-31.79,71.68,0.813,2.019,265.0,0.397,12.64
EXEM,2026-04-21T10:30:00+13:00,-32.87,70.56,1.269,2.646,210.5,0.214,12.64
EXEM,2026-04-21T10:15:00+13:00,-32.72,71.1,1.436,2.901,246.6,0.091,12.64
EXEM,2026-04-21T10:00:00+13:00,-33.59,70.55,1.219,2.489,236.7,0.027,12.64
EXEM,2026-04-21T09:45:00+13:00,-33.42,69.57,0.932,2.352,245.3,0.006,12.64
EXEM,2026-04-21T09:30:00+13:00,-31.38,70.27,1.327,2.666,256.5,0.006,12.64
EXEM,2026-04-21T09:15:00+13:00,-29.25,72.18,2.341,3.195,178.6,0.012,12.64
EXEM,2026-04-21T09:00:00+13:00,-30.43,72.17,1.939,3.018,168.5,0.01,12.64
EXEM,2026-04-21T08:45:00+13:00,-31.61,72.75,2.383,2.94,178.8,0.005,12.64
EXEM,2026-04-21T08:30:00+13:00,-34.68,70.51,1.03,2.94,191.6,0.002,12.64
EXEM,2026-04-21T08:15:00+13:00,-35.67,68.5,0.859,1.862,189.9,0.001,12.64
EXEM,2026-04-21T08:00:00+13:00,-33.48,69.96,1.869,2.764,256.4,0.002,12.64
EXEM,2026-04-21T07:45:00+13:00,-31.3,72.25,1.582,2.881,191.3,0.003,12.64
EXEM,2026-04-21T07:30:00+13:00,-33.81,70.9,0.393,1.646,214.4,0.002,12.64
EXEM,2026-04-21T07:15:00+13:00,-34.39,70.07,0.41,1.176,221.3,0.001,12.65
EXEM,2026-04-21T07:00:00+13:00,-33.74,69.31,1.275,2.372,215.7,0.002,12.64
EXEM,2026-04-21T06:45:00+13:00,-31.42,71.22,1.625,2.019,230.2,0.001,12.65
EXEM,2026-04-21T06:30:00+13:00,-30.94,72.56,0.924,2.176,216.4,0.002,12.64
EXEM,2026-04-21T06:15:00+13:00,-31.85,71.29,0.819,2.019,141.8,0.001,12.64
EXEM,2026-04-21T06:00:00+13:00,-31.79,72.81,1.926,3.077,172.9,0.002,12.65
EXEM,2026-04-21T05:45:00+13:00,-33.96,69.68,0.636,2.215,209.2,0.003,12.64
EXEM,2026-04-21T05:30:00+13:00,-33.1,70.53,1.121,1.901,200.1,0.001,12.65
EXEM,2026-04-21T05:15:00+13:00,-33.36,71.1,2.127,3.587,176.5,0.004,12.65
EXEM,2026-04-21T05:00:00+13:00,-34.05,68.65,1.324,2.646,277.8,0.001,12.65
EXEM,2026-04-21T04:45:00+13:00,-30.71,72.62,2.146,2.96,195.1,0.005,12.65
EXEM,2026-04-21T04:30:00+13:00,-32.59,72.62,1.045,2.215,167.1,0.002,12.65
EXEM,2026-04-21T04:15:00+13:00,-34.38,70.21,0.582,2.136,219.5,0.001,12.65
EXEM,2026-04-21T04:00:00+13:00,-33.84,69.02,0.849,2.136,288.2,0.001,12.65
EXEM,2026-04-21T03:45:00+13:00,-31.95,68.23,0.901,2.038,207.0,0.004,12.65
EXEM,2026-04-21T03:30:00+13:00,-30.62,69.98,1.019,1.646,152.4,0.005,12.65
EXEM,2026-04-21T03:15:00+13:00,-29.94,71.56,1.247,2.489,167.7,0.005,12.65
EXEM,2026-04-21T03:00:00+13:00,-31.64,71.6,0.397,1.254,171.1,0.002,12.65
EXEM,2026-04-21T02:45:00+13:00,-33.12,71.0,0.496,2.078,81.2,0.001,12.65
EXEM,2026-04-21T02:30:00+13:00,-33.66,70.36,1.003,2.117,140.0,0.002,12.65
EXEM,2026-04-21T02:15:00+13:00,-34.04,68.21,0.722,2.313,209.5,0.002,12.65
EXEM,2026-04-21T02:00:00+13:00,-31.78,67.67,1.37,3.136,275.5,0.002,12.65
EXEM,2026-04-21T01:45:00+13:00,-30.7,70.21,0.769,2.666,171.8,0.003,12.65
EXEM,2026-04-21T01:30:00+13:00,-31.57,67.67,0.587,1.842,287.8,0.002,12.66
EXEM,2026-04-21T01:15:00+13:00,-29.99,70.95,0.74,2.313,228.8,0.001,12.65
EXEM,2026-04-21T01:00:00+13:00,-30.73,70.33,0.365,1.333,303.2,0.001,12.65
EXEM,2026-04-21T00:45:00+13:00,-29.95,71.41,0.758,2.724,132.3,0.002,12.65
EXEM,2026-04-21T00:30:00+13:00,-30.99,71.79,1.223,2.881,109.5,0.003,12.65
EXEM,2026-04-21T00:15:00+13:00,-32.39,71.34,0.828,2.293,256.7,0.001,12.65
EXEM,2026-04-21T00:00:00+13:00,-32.68,69.9,2.137,4.234,212.6,0.006,12.65
EXEM,2026-04-20T23:45:00+13:00,-32.29,70.25,2.25,4.273,195.3,0.001,12.65
EXEM,2026-04-20T23:30:00+13:00,-32.29,70.6,1.66,2.822,232.8,0.001,12.65
EXEM,2026-04-20T23:15:00+13:00,-31.99,70.02,1.856,3.371,254.0,0.001,12.66
EXEM,2026-04-20T23:00:00+13:00,-31.43,70.65,1.217,2.254,239.3,0.001,12.65
EXEM,2026-04-20T22:45:00+13:00,-30.91,70.87,1.95,4.018,210.3,0.005,12.65
EXEM,2026-04-20T22:30:00+13:00,-32.23,71.33,1.567,2.881,193.9,0.002,12.66
EXEM,2026-04-20T22:15:00+13:00,-34.24,68.94,3.596,5.292,183.6,0.003,12.65
EXEM,2026-04-20T22:00:00+13:00,-31.85,72.1,1.174,4.724,264.0,0.001,12.66
EXEM,2026-04-20T21:45:00+13:00,-34.17,68.47,0.805,1.725,119.1,0.002,12.66
EXEM,2026-04-20T21:30:00+13:00,-30.91,69.83,1.793,2.764,244.4,0.002,12.66
EXEM,2026-04-20T21:15:00+13:00,-30.55,71.22,0.71,2.45,237.3,0.002,12.66
EXEM,2026-04-20T21:00:00+13:00,-31.73,70.04,0.876,2.195,234.9,0.002,12.66
EXEM,2026-04-20T20:45:00+13:00,-31.34,70.51,0.29,1.058,150.0,0.001,12.66
EXEM,2026-04-20T20:30:00+13:00,-31.52,71.12,0.587,1.901,176.3,0.004,12.66
EXEM,2026-04-20T20:15:00+13:00,-33.46,69.91,0.727,1.548,109.0,0.002,12.66
EXEM,2026-04-20T20:00:00+13:00,-33.77,68.69,1.226,2.979,186.8,0.002,12.66
EXEM,2026-04-20T19:45:00+13:00,-32.07,70.28,1.565,2.685,252.2,0.002,12.66
EXEM,2026-04-20T19:30:00+13:00,-32.41,70.66,0.482,1.352,261.3,0.001,12.66
EXEM,2026-04-20T19:15:00+13:00,-33.07,70.55,1.074,3.293,162.2,0.002,12.66
EXEM,2026-04-20T19:00:00+13:00,-34.82,66.67,1.574,3.273,302.1,0.004,12.67
EXEM,2026-04-20T18:45:00+13:00,-29.88,70.27,2.015,4.116,182.7,0.009,12.67
EXEM,2026-04-20T18:30:00+13:00,-30.33,71.48,0.953,2.509,232.6,0.017,12.67
EXEM,2026-04-20T18:15:00+13:00,-31.98,70.49,0.307,0.764,128.2,0.064,12.67
EXEM,2026-04-20T18:00:00+13:00,-32.29,70.05,1.901,3.195,154.8,0.223,12.67
EXEM,2026-04-20T17:45:00+13:00,-32.91,69.62,2.029,3.312,194.4,0.583,12.67
EXEM,2026-04-20T17:30:00+13:00,-31.91,68.25,1.082,2.058,292.7,1.104,12.67
EXEM,2026-04-20T17:15:00+13:00,-29.47,71.66,0.929,2.391,172.1,1.716,12.68
EXEM,2026-04-20T17:00:00+13:00,-31.52,70.93,0.332,1.156,139.0,2.42,12.68
EXEM,2026-04-20T16:45:00+13:00,-32.23,68.91,1.123,2.117,263.6,3.188,12.68
EXEM,2026-04-20T16:30:00+13:00,-30.35,69.92,1.135,2.038,199.6,4.021,12.68
EXEM,2026-04-20T16:15:00+13:00,-29.61,71.82,1.242,2.313,271.8,4.868,12.69
EXEM,2026-04-20T16:00:00+13:00,-31.5,71.06,0.013,0.392,315.1,5.645,12.7
EXEM,2026-04-20T15:45:00+13:00,-31.82,70.72,0.979,3.097,154.0,6.41,12.69
EXEM,2026-04-20T15:30:00+13:00,-34.03,69.04,0.861,2.862,163.4,7.051,12.7
EXEM,2026-04-20T15:15:00+13:00,-32.26,68.15,1.5,2.783,265.0,7.608,12.7
EXEM,2026-04-20T15:00:00+13:00,-29.37,70.94,1.203,2.391,229.5,8.06,12.7
EXEM,2026-04-20T14:45:00+13:00,-29.35,70.47,0.951,2.038,177.5,8.42,12.7
EXEM,2026-04-20T14:30:00+13:00,-29.48,71.02,2.352,3.43,166.4,8.68,12.7
EXEM,2026-04-20T14:15:00+13:00,-30.54,70.95,1.587,2.43,193.5,8.84,12.7
EXEM,2026-04-20T14:00:00+13:00,-31.2,70.71,1.356,2.156,192.3,8.86,12.7
EXEM,2026-04-20T13:45:00+13:00,-31.18,70.27,2.084,3.626,231.1,8.73,12.69
EXEM,2026-04-20T13:30:00+13:00,-31.45,70.4,0.834,2.685,215.3,8.48,12.69
EXEM,2026-04-20T13:15:00+13:00,-31.26,70.49,0.738,2.372,243.1,8.12,12.68
EXEM,2026-04-20T13:00:00+13:00,-29.8,70.83,1.533,2.646,210.2,7.626,12.68
EXEM,2026-04-20T12:45:00+13:00,-29.75,71.91,0.306,1.019,181.1,7.04,12.68
EXEM,2026-04-20T12:30:00+13:00,-30.35,72.01,1.353,2.568,195.6,6.4,12.65
EXEM,2026-04-20T12:15:00+13:00,-33.28,70.5,0.176,1.666,173.4,5.658,12.65
EXEM,2026-04-20T12:00:00+13:00,-33.54,69.16,0.772,1.921,262.3,4.849,12.67
EXEM,2026-04-20T11:45:00+13:00,-31.76,69.84,1.193,2.705,208.9,3.966,12.67
EXEM,2026-04-20T11:30:00+13:00,-30.3,70.9,1.101,2.685,232.2,3.074,12.67
EXEM,2026-04-20T11:15:00+13:00,-30.3,72.3,0.561,1.47,247.4,2.242,12.67
EXEM,2026-04-20T11:00:00+13:00,-32.7,69.92,1.208,2.803,300.9,1.531,12.67
EXEM,2026-04-20T10:45:00+13:00,-31.46,71.02,1.465,3.077,231.4,0.951,12.67
EXEM,2026-04-20T10:30:00+13:00,-31.71,70.68,1.268,3.038,255.2,0.514,12.67
EXEM,2026-04-20T10:15:00+13:00,-30.97,70.71,1.583,3.391,190.6,0.233,12.67
EXEM,2026-04-20T10:00:00+13:00,-30.86,69.25,1.581,2.822,260.1,0.086,12.67
EXEM,2026-04-20T09:45:00+13:00,-27.86,73.06,2.316,3.979,180.2,0.038,12.67
EXEM,2026-04-20T09:30:00+13:00,-30.93,72.08,1.006,2.862,179.7,0.009,12.67
EXEM,2026-04-20T09:15:00+13:00,-32.63,70.33,1.606,3.469,303.2,0.006,12.67
EXEM,2026-04-20T09:00:00+13:00,-31.82,71.03,1.854,3.018,190.6,0.004,12.67
EXEM,2026-04-20T08:45:00+13:00,-32.68,69.9,1.012,2.764,258.1,0.002,12.68
EXEM,2026-04-20T08:30:00+13:00,-30.87,70.95,1.938,2.666,241.5,0.004,12.67
EXEM,2026-04-20T08:15:00+13:00,-30.12,71.88,1.426,2.999,187.5,0.004,12.68
EXEM,2026-04-20T08:00:00+13:00,-31.19,71.17,0.945,3.018,244.9,0.003,12.68
EXEM,2026-04-20T07:45:00+13:00,-31.61,71.68,1.284,3.214,170.0,0.003,12.67
EXEM,2026-04-20T07:30:00+13:00,-33.03,70.45,1.075,1.96,293.3,0.001,12.67
EXEM,2026-04-20T07:15:00+13:00,-32.81,70.38,0.63,1.313,211.1,0.001,12.68
EXEM,2026-04-20T07:00:00+13:00,-32.52,70.59,1.198,2.744,186.5,0.001,12.68
EXEM,2026-04-20T06:45:00+13:00,-31.46,70.94,1.729,3.43,223.7,0.001,12.68
EXEM,2026-04-20T06:30:00+13:00,-30.43,71.68,0.215,1.646,11.07,0.001,12.68
EXEM,2026-04-20T06:15:00+13:00,-29.37,72.54,0.999,1.686,168.3,0.002,12.68
EXEM,2026-04-20T06:00:00+13:00,-30.51,71.34,0.684,1.98,235.1,0.001,12.68
EXEM,2026-04-20T05:45:00+13:00,-29.9,72.49,1.029,2.254,231.3,0.003,12.68
EXEM,2026-04-20T05:30:00+13:00,-32.03,71.54,0.538,1.431,171.9,0.002,12.68
EXEM,2026-04-20T05:15:00+13:00,-32.05,70.36,1.408,2.489,286.2,0.002,12.68
EXEM,2026-04-20T05:00:00+13:00,-30.34,72.23,1.858,2.705,193.3,0.002,12.68
EXEM,2026-04-20T04:45:00+13:00,-30.85,71.54,1.057,2.156,265.9,0.001,12.68
EXEM,2026-04-20T04:30:00+13:00,-30.85,71.86,1.817,2.528,252.9,0.001,12.68
EXEM,2026-04-20T04:15:00+13:00,-30.39,71.74,1.658,2.528,231.0,0.002,12.68
EXEM,2026-04-20T04:00:00+13:00,-30.83,72.06,1.208,2.705,206.9,0.002,12.68
EXEM,2026-04-20T03:45:00+13:00,-30.17,71.43,1.709,3.195,287.9,0.003,12.69
EXEM,2026-04-20T03:30:00+13:00,-29.59,73.26,1.289,3.273,205.3,0.001,12.68
EXEM,2026-04-20T03:15:00+13:00,-31.6,71.81,0.429,1.372,253.5,0.001,12.68
EXEM,2026-04-20T03:00:00+13:00,-31.59,70.9,1.364,3.116,290.8,0.002,12.69
EXEM,2026-04-20T02:45:00+13:00,-29.89,72.24,1.447,2.96,207.6,0.002,12.68
EXEM,2026-04-20T02:30:00+13:00,-30.72,72.19,0.984,1.823,201.7,0.001,12.69
EXEM,2026-04-20T02:15:00+13:00,-31.23,71.67,1.063,1.98,203.6,0.001,12.69
EXEM,2026-04-20T02:00:00+13:00,-30.18,71.94,1.456,3.312,234.5,0.002,12.69
EXEM,2026-04-20T01:45:00+13:00,-29.85,72.6,1.101,2.43,231.7,0.002,12.69
EXEM,2026-04-20T01:30:00+13:00,-29.95,71.91,1.062,1.784,289.3,0.001,12.69
EXEM,2026-04-20T01:15:00+13:00,-28.55,73.23,2.302,3.214,200.7,0.004,12.69
EXEM,2026-04-20T01:00:00+13:00,-29.9,72.75,1.468,2.842,175.9,0.002,12.69
EXEM,2026-04-20T00:45:00+13:00,-30.45,72.45,1.535,2.352,192.6,0.001,12.69
EXEM,2026-04-20T00:30:00+13:00,-30.7,71.23,0.757,1.921,261.4,0.001,12.69
EXEM,2026-04-20T00:15:00+13:00,-28.42,73.46,1.092,1.882,207.3,0.002,12.69
EXEM,2026-04-20T00:00:00+13:00,-30.22,72.24,0.735,2.176,168.5,0.001,12.69
EXEM,2026-04-19T23:45:00+13:00,-29.96,72.12,0.269,1.156,253.0,0.001,12.69
EXEM,2026-04-19T23:30:00+13:00,-29.12,72.26,0.42,1.666,252.1,0.003,12.69
EXEM,2026-04-19T23:15:00+13:00,-27.87,72.28,1.389,3.371,193.8,0.005,12.69
EXEM,2026-04-19T23:00:00+13:00,-26.56,74.47,2.635,3.312,198.8,0.006,12.69
EXEM,2026-04-19T22:45:00+13:00,-28.57,74.31,2.294,3.489,179.1,0.005,12.69
EXEM,2026-04-19T22:30:00+13:00,-31.49,72.31,0.827,1.509,217.3,0.002,12.69
EXEM,2026-04-19T22:15:00+13:00,-33.01,70.64,1.346,2.489,259.8,0.002,12.69
EXEM,2026-04-19T22:00:00+13:00,-30.64,71.46,2.514,3.861,248.8,0.002,12.69
EXEM,2026-04-19T21:45:00+13:00,-27.62,73.87,3.618,4.214,204.1,0.005,12.69
EXEM,2026-04-19T21:30:00+13:00,-27.65,74.4,1.772,3.175,240.1,0.002,12.7
EXEM,2026-04-19T21:15:00+13:00,-27.55,74.29,1.688,2.666,235.4,0.004,12.7
EXEM,2026-04-19T21:00:00+13:00,-28.25,73.91,2.221,2.764,236.3,0.002,12.7
EXEM,2026-04-19T20:45:00+13:00,-28.33,74.11,2.757,3.371,218.7,0.001,12.7
EXEM,2026-04-19T20:30:00+13:00,-29.47,73.07,2.349,3.352,204.2,0.002,12.7
EXEM,2026-04-19T20:15:00+13:00,-29.34,73.29,2.764,3.332,203.8,0.002,12.7
EXEM,2026-04-19T20:00:00+13:00,-29.45,73.19,2.36,3.45,194.0,0.005,12.7
EXEM,2026-04-19T19:45:00+13:00,-29.16,73.22,3.275,3.94,202.2,0.002,12.7
EXEM,2026-04-19T19:30:00+13:00,-28.08,74.45,2.397,2.92,225.8,0.003,12.71
EXEM,2026-04-19T19:15:00+13:00,-29.99,72.95,1.525,3.058,238.5,0.004,12.7
EXEM,2026-04-19T19:00:00+13:00,-30.0,73.52,2.503,3.528,181.5,0.006,12.71
EXEM,2026-04-19T18:45:00+13:00,-32.12,71.23,2.563,3.41,188.8,0.012,12.71
EXEM,2026-04-19T18:30:00+13:00,-30.8,71.49,1.067,3.234,229.1,0.037,12.71
EXEM,2026-04-19T18:15:00+13:00,-28.69,74.42,1.608,3.058,162.1,0.108,12.71
EXEM,2026-04-19T18:00:00+13:00,-30.06,72.89,0.763,1.94,123.1,0.275,12.71
EXEM,2026-04-19T17:45:00+13:00,-30.21,73.11,0.58,1.666,199.1,0.582,12.71
EXEM,2026-04-19T17:30:00+13:00,-30.92,72.6,1.497,3.626,144.1,1.084,12.72
EXEM,2026-04-19T17:15:00+13:00,-31.45,72.15,2.566,3.43,173.6,1.775,12.72
EXEM,2026-04-19T17:00:00+13:00,-31.55,71.04,1.727,2.685,244.2,2.615,12.72
EXEM,2026-04-19T16:45:00+13:00,-28.19,73.44,1.258,3.626,176.1,3.586,12.72
EXEM,2026-04-19T16:30:00+13:00,-27.08,74.54,0.677,1.686,168.8,4.61,12.73
EXEM,2026-04-19T16:15:00+13:00,-25.96,74.87,1.569,3.998,61.1,5.62,12.73
EXEM,2026-04-19T16:00:00+13:00,-26.43,74.86,2.592,3.685,11.25,6.402,12.74
EXEM,2026-04-19T15:45:00+13:00,-27.5,75.29,1.456,3.273,45.26,7.343,12.74
EXEM,2026-04-19T15:30:00+13:00,-29.56,73.3,0.438,1.411,164.9,8.08,12.75
EXEM,2026-04-19T15:15:00+13:00,-29.79,73.26,0.672,1.94,300.7,8.67,12.75
EXEM,2026-04-19T15:00:00+13:00,-30.33,72.25,0.517,1.627,231.1,9.17,12.75
EXEM,2026-04-19T14:45:00+13:00,-29.1,73.3,0.9,1.666,221.1,9.58,12.75
