symbol,timestamp_utc,air_temp_3m,rel_hum_3m,wind_spd_avg,wind_spd_max,wind_direction,barom_pres,sw_rad_in,battv_min
FRLM,2026-04-17 04:15:00+00,-23.15,58.26,1.272,2.313,253.7,996.938,3.326,12.86
FRLM,2026-04-17 04:00:00+00,-22.39,55.39,1.673,3.116,319.6,996.862,4.376,12.85
FRLM,2026-04-17 03:45:00+00,-22.04,54.24,3.557,6.409,101.6,996.7245,5.41,12.86
FRLM,2026-04-17 03:30:00+00,-21.44,47.54,5.012,6.311,87.4,996.2964,6.478,12.87
FRLM,2026-04-17 03:15:00+00,-20.53,40.98,3.931,8.58,46.04,996.059,7.692,12.87
FRLM,2026-04-17 03:00:00+00,-19.72,40.75,3.491,8.37,274.6,995.7194,8.56,12.88
FRLM,2026-04-17 02:45:00+00,-17.94,37.25,6.724,10.82,217.5,995.4996,9.04,12.88
FRLM,2026-04-17 02:30:00+00,-22.74,51.56,1.957,6.429,63.64,995.8809,9.42,12.88
FRLM,2026-04-17 02:15:00+00,-22.43,48.58,1.661,2.94,113.1,995.9317,9.69,12.89
FRLM,2026-04-17 02:00:00+00,-22.2,49.51,2.248,6.135,96.6,995.7859,9.88,12.89
FRLM,2026-04-17 01:45:00+00,-23.62,50.9,2.183,3.508,54.36,995.764,10.14,12.89
FRLM,2026-04-17 01:30:00+00,-21.81,47.66,2.073,3.038,127.6,995.6868,11.23,12.9
FRLM,2026-04-17 01:15:00+00,-21.87,48.95,0.796,1.646,140.8,995.7549,14.47,12.91
FRLM,2026-04-17 01:00:00+00,-22.58,51.83,0.57,0.98,274.1,995.6472,17.18,12.9
FRLM,2026-04-17 00:45:00+00,-22.9,51.68,0.833,2.176,210.6,995.5513,16.18,12.88
FRLM,2026-04-17 00:30:00+00,-22.44,49.67,1.491,2.783,139.3,995.4462,16.07,12.88
FRLM,2026-04-17 00:15:00+00,-22.2,46.12,2.987,4.371,99.0,995.3452,17.68,12.87
FRLM,2026-04-17 00:00:00+00,-21.19,44.34,3.529,4.724,80.6,995.116,17.91,12.85
FRLM,2026-04-16 23:45:00+00,-21.1,43.74,3.455,4.469,75.35,994.9533,17.52,12.84
FRLM,2026-04-16 23:30:00+00,-20.91,43.52,2.643,5.037,81.0,994.8893,17.69,12.82
FRLM,2026-04-16 23:15:00+00,-22.48,46.66,2.335,4.175,141.5,994.7673,15.63,12.78
FRLM,2026-04-16 23:00:00+00,-21.93,44.82,0.979,2.646,114.5,994.683,12.89,12.78
FRLM,2026-04-16 22:45:00+00,-20.88,38.97,1.749,4.234,174.3,994.5806,9.21,12.79
FRLM,2026-04-16 22:30:00+00,-20.02,39.02,2.183,4.763,226.4,994.4863,6.164,12.78
FRLM,2026-04-16 22:15:00+00,-20.34,38.77,3.546,5.586,229.7,994.3787,4.16,12.78
FRLM,2026-04-16 22:00:00+00,-19.27,36.45,4.677,8.39,271.3,994.3302,2.924,12.78
FRLM,2026-04-16 21:45:00+00,-19.21,37.78,4.175,8.6,261.0,994.3251,1.944,12.78
FRLM,2026-04-16 21:30:00+00,-19.77,39.25,3.303,5.351,272.1,994.3151,1.204,12.77
FRLM,2026-04-16 21:15:00+00,-21.05,40.19,1.785,3.508,218.3,994.1571,0.626,12.77
FRLM,2026-04-16 21:00:00+00,-20.52,38.98,1.661,4.194,270.1,994.1571,0.288,12.77
FRLM,2026-04-16 20:45:00+00,-20.27,38.03,2.536,5.39,215.3,994.0609,0.096,12.77
FRLM,2026-04-16 20:30:00+00,-19.98,39.15,2.35,5.233,253.8,993.9841,0.025,12.76
FRLM,2026-04-16 20:15:00+00,-20.13,39.2,1.05,3.665,336.7,993.9305,0.006,12.76
FRLM,2026-04-16 20:00:00+00,-19.77,38.52,1.236,3.116,232.9,993.8051,0.001,12.76
FRLM,2026-04-16 19:45:00+00,-20.11,41.15,1.662,3.234,296.5,993.7857,0.003,12.76
