symbol,timestamp_utc,air_temp_3m,rel_hum_3m,wind_spd_avg,wind_spd_max,wind_direction,barom_pres,sw_rad_in,battv_min
HO2M,2026-06-07 01:00:00+00,-32.42,70.47,2.591352,6.973128,352,987.7975,0.002,12.38
HO2M,2026-06-07 00:45:00+00,-31.71,71.53,3.219264,6.934248,240.6,987.7833,0.002,12.36
HO2M,2026-06-07 00:30:00+00,-31.4,71.13,2.709936,6.438528,37.64,987.9184,0.001,12.37
HO2M,2026-06-07 00:15:00+00,-32.23,71.08,3.359232,7.048944,24.18,988.1721,0.001,12.39
HO2M,2026-06-07 00:00:00+00,-31.46,71.42,4.469256,7.278336,318.4,988.2848,0.002,12.39
HO2M,2026-06-06 23:45:00+00,-31.66,71.31,1.154736,3.277584,21.48,988.6046,0.002,12.39
HO2M,2026-06-06 23:30:00+00,-31.36,69.87,3.133728,7.278336,244.6,988.6477,0.002,12.39
HO2M,2026-06-06 23:15:00+00,-30.74,72.01,2.814912,5.563728,354.7,988.8116,0.001,12.39
HO2M,2026-06-06 23:00:00+00,-31.03,71.28,3.318408,7.278336,152.8,988.8967,0.001,12.38
HO2M,2026-06-06 22:45:00+00,-30.9,73.61,5.188536,10.744488,22.93,988.7123,0.002,12.39
HO2M,2026-06-06 22:30:00+00,-32.32,72.58,3.320352,7.849872,354.4,988.8599,0.002,12.39
HO2M,2026-06-06 22:15:00+00,-31.39,74.05,5.884488,11.316024,39.19,988.7603,0.002,12.39
HO2M,2026-06-06 22:00:00+00,-31.86,73.25,3.367008,6.438528,224.5,988.7892,0.002,12.38
HO2M,2026-06-06 21:45:00+00,-31.71,74.16,3.497256,8.687736,25.42,989.0338,0.002,12.39
HO2M,2026-06-06 21:30:00+00,-31.93,73.66,2.30364,4.26708,174.7,989.1765,0.003,12.39
HO2M,2026-06-06 21:15:00+00,-31.15,74.77,2.53692,5.104944,16.33,989.2759,0,12.38
HO2M,2026-06-06 21:00:00+00,-31.19,73.97,2.610792,4.877496,229,989.2729,0.001,12.38
HO2M,2026-06-06 20:45:00+00,-30.83,73.44,2.208384,4.039632,315.4,989.3767,0.001,12.38
HO2M,2026-06-06 20:30:00+00,-31.18,72.28,2.140344,4.953312,353.9,989.475,0.001,12.38
HO2M,2026-06-06 20:15:00+00,-30.47,73.01,4.632552,7.16364,31.12,989.4184,0.001,12.38
HO2M,2026-06-06 20:00:00+00,-31.19,71.25,2.568024,5.143824,296.4,989.5188,0.002,12.38
HO2M,2026-06-06 19:45:00+00,-30.04,70.28,3.695544,5.524848,357.1,989.561,0,12.38
HO2M,2026-06-06 19:30:00+00,-30.35,67.01,2.680776,5.373216,342.7,989.6548,0.003,12.38
HO2M,2026-06-06 19:15:00+00,-29.09,67.57,3.553632,6.592104,38.74,989.7886,0.002,12.38
HO2M,2026-06-06 19:00:00+00,-29.9,69.48,3.983256,7.429968,32.74,989.7962,0.001,12.38
HO2M,2026-06-06 18:45:00+00,-30.51,71.33,3.166776,6.897312,6.14,989.8609,0.002,12.38
