symbol,timestamp_utc,air_temp_3m,rel_hum_3m,wind_spd_avg,wind_spd_max,wind_direction,sw_rad_in,battv_min
HODM,2026-04-29 08:15:00+00,-24.59,43.07,0.956,1.666,299.7,0.0,12.73
HODM,2026-04-29 08:00:00+00,-24.26,40.85,0.479,1.98,299.1,0.0,12.73
HODM,2026-04-29 07:45:00+00,-24.34,43.06,0.788,1.823,296.9,0.0,12.74
HODM,2026-04-29 07:30:00+00,-24.14,38.06,1.083,2.96,191.8,0.0,12.74
HODM,2026-04-29 07:15:00+00,-22.61,27.81,2.132,3.332,232.8,0.0,12.73
HODM,2026-04-29 07:00:00+00,-22.01,25.89,1.708,3.175,286.4,0.0,12.74
HODM,2026-04-29 06:45:00+00,-21.81,25.89,1.654,3.92,297.4,0.0,12.73
HODM,2026-04-29 06:30:00+00,-22.2,28.0,1.3,3.528,280.9,0.0,12.73
HODM,2026-04-29 06:15:00+00,-22.22,29.32,2.036,4.253,276.5,0.0,12.73
HODM,2026-04-29 06:00:00+00,-21.95,28.59,1.23,2.607,293.1,0.0,12.73
HODM,2026-04-29 05:45:00+00,-21.99,27.44,1.011,2.685,269.9,0.0,12.73
HODM,2026-04-29 05:30:00+00,-20.79,22.94,2.499,6.311,240.5,0.0,12.72
HODM,2026-04-29 05:15:00+00,-19.26,21.36,4.769,7.644,258.4,0.0,12.72
HODM,2026-04-29 05:00:00+00,-19.09,22.41,6.258,10.82,274.3,0.0,12.73
HODM,2026-04-29 04:45:00+00,-18.96,21.07,7.111,10.66,280.5,0.0,12.72
HODM,2026-04-29 04:30:00+00,-20.17,26.86,5.025,7.585,285.9,0.0,12.72
HODM,2026-04-29 04:15:00+00,-19.14,20.45,3.738,4.88,286.5,0.0,12.72
HODM,2026-04-29 04:00:00+00,-18.38,17.08,2.629,4.038,288.6,0.0,12.72
HODM,2026-04-29 03:45:00+00,-18.36,17.1,2.183,5.155,281.4,0.0,12.72
HODM,2026-04-29 03:30:00+00,-18.2,17.24,1.875,3.548,292.9,0.0,12.72
HODM,2026-04-29 03:15:00+00,-18.98,21.9,4.762,8.72,287.8,0.0,12.72
HODM,2026-04-29 03:00:00+00,-18.74,18.93,3.963,6.821,294.3,0.0,12.71
HODM,2026-04-29 02:45:00+00,-19.28,19.77,3.571,7.095,294.1,0.0,12.72
HODM,2026-04-29 02:30:00+00,-20.32,23.64,2.993,5.664,289.0,0.0,12.71
HODM,2026-04-29 02:15:00+00,-20.89,26.26,3.171,4.763,289.4,0.0,12.71
HODM,2026-04-29 02:00:00+00,-21.55,28.03,4.35,5.86,288.5,0.0,12.71
HODM,2026-04-29 01:45:00+00,-20.63,21.66,3.502,5.155,287.9,0.0,12.71
HODM,2026-04-29 01:30:00+00,-20.64,21.66,3.457,5.723,291.8,0.0,12.71
HODM,2026-04-29 01:15:00+00,-21.27,24.2,4.274,6.742,292.8,0.0,12.71
HODM,2026-04-29 01:00:00+00,-21.57,23.39,4.526,6.194,291.3,0.0,12.71
HODM,2026-04-29 00:45:00+00,-21.01,21.41,2.949,6.017,292.3,0.0,12.71
HODM,2026-04-29 00:30:00+00,-21.67,22.77,3.919,6.605,292.4,0.0,12.71
HODM,2026-04-29 00:15:00+00,-22.39,27.12,3.781,6.605,288.1,0.0,12.7
HODM,2026-04-29 00:00:00+00,-22.44,23.54,5.189,6.782,285.5,0.0,12.7
HODM,2026-04-28 23:45:00+00,-21.98,21.99,4.401,6.644,288.9,0.0,12.71
HODM,2026-04-28 23:30:00+00,-22.32,23.0,4.725,6.997,291.0,0.0,12.7
HODM,2026-04-28 23:15:00+00,-22.41,23.24,5.042,6.37,289.6,0.0,12.71
HODM,2026-04-28 23:00:00+00,-22.04,21.06,5.348,6.39,287.0,0.0,12.71
HODM,2026-04-28 22:45:00+00,-22.04,21.86,5.729,7.546,287.9,0.0,12.7
HODM,2026-04-28 22:30:00+00,-23.05,25.3,6.392,9.13,290.9,0.0,12.7
HODM,2026-04-28 22:15:00+00,-23.12,24.48,5.827,8.94,291.5,0.0,12.7
HODM,2026-04-28 22:00:00+00,-23.22,25.69,4.994,7.664,290.4,0.0,12.7
HODM,2026-04-28 21:45:00+00,-22.47,23.24,3.71,5.625,292.5,0.0,12.7
HODM,2026-04-28 21:30:00+00,-23.18,24.67,4.576,7.683,292.4,0.0,12.7
HODM,2026-04-28 21:15:00+00,-22.31,21.5,3.677,5.508,290.7,0.0,12.69
HODM,2026-04-28 21:00:00+00,-22.1,21.76,4.246,7.193,294.3,0.0,12.7
HODM,2026-04-28 20:45:00+00,-22.66,21.64,3.875,6.566,289.4,0.0,12.7
HODM,2026-04-28 20:30:00+00,-23.04,22.82,3.271,5.37,288.5,0.0,12.69
HODM,2026-04-28 20:15:00+00,-23.71,25.14,5.017,7.644,292.0,0.0,12.7
HODM,2026-04-28 20:00:00+00,-22.83,20.33,4.494,7.33,293.4,0.0,12.69
HODM,2026-04-28 19:45:00+00,-22.6,20.4,2.202,3.744,284.7,0.0,12.69
HODM,2026-04-28 19:30:00+00,-23.45,23.81,4.169,7.526,291.7,0.0,12.69
HODM,2026-04-28 19:15:00+00,-23.59,21.9,6.157,8.66,292.3,0.0,12.69
HODM,2026-04-28 19:00:00+00,-23.42,21.92,5.442,7.958,290.2,0.0,12.69
HODM,2026-04-28 18:45:00+00,-23.68,23.32,4.285,5.978,289.0,0.0,12.69
HODM,2026-04-28 18:30:00+00,-23.62,22.56,5.684,8.33,292.0,0.0,12.69
HODM,2026-04-28 18:15:00+00,-23.79,22.76,5.635,7.938,291.4,0.0,12.69
HODM,2026-04-28 18:00:00+00,-23.44,21.55,4.97,7.82,291.9,0.0,12.69
HODM,2026-04-28 17:45:00+00,-23.36,21.12,5.484,7.311,289.8,0.0,12.68
HODM,2026-04-28 17:30:00+00,-23.39,21.33,4.82,6.723,292.0,0.0,12.68
