symbol,timestamp_utc,air_temp_3m,rel_hum_3m,wind_spd_avg,wind_spd_max,wind_direction,sw_rad_in,battv_min
TARM,2026-07-09T16:45:00+13:00,-28.94,0,0.942,2.685,291.5,-2.904,12.7
TARM,2026-07-09T16:30:00+13:00,-29.33,0,1.244,2.156,86.3,-3.76,12.71
TARM,2026-07-09T16:15:00+13:00,-27.9,0,2.006,3.058,34.92,-4.487,12.71
TARM,2026-07-09T16:00:00+13:00,-22.93,0,3.896,5.978,239.0,-1.707,12.7
TARM,2026-07-09T15:45:00+13:00,-23.01,0,5.956,7.076,262.6,-1.211,12.71
TARM,2026-07-09T15:30:00+13:00,-23.04,0,5.756,9.64,252.1,-1.535,12.7
TARM,2026-07-09T15:15:00+13:00,-22.39,0,4.878,6.664,253.7,-0.627,12.7
TARM,2026-07-09T15:00:00+13:00,-24.66,0,3.171,6.664,259.3,-1.923,12.71
TARM,2026-07-09T14:45:00+13:00,-24.43,0,3.798,5.39,245.9,-1.573,12.7
TARM,2026-07-09T14:30:00+13:00,-24.52,0,4.94,6.154,245.5,-0.016,12.71
TARM,2026-07-09T14:15:00+13:00,-27.36,0,4.563,7.076,236.8,-1.409,12.71
TARM,2026-07-09T14:00:00+13:00,-27.02,0,3.119,4.155,241.1,-1.398,12.71
TARM,2026-07-09T13:45:00+13:00,-27.26,0,2.249,3.371,248.8,-1.827,12.71
TARM,2026-07-09T13:30:00+13:00,-26.7,0,1.098,1.94,217.6,-2.295,12.71
TARM,2026-07-09T13:15:00+13:00,-26.57,0,0.639,2.117,244.1,-2.1,12.71
TARM,2026-07-09T13:00:00+13:00,-27.48,0,1.981,3.332,241.5,-1.952,12.71
TARM,2026-07-09T12:45:00+13:00,-27.06,0,3.075,3.704,238.0,-1.671,12.71
TARM,2026-07-09T12:30:00+13:00,-26.37,0,1.45,2.803,238.9,-2.213,12.71
TARM,2026-07-09T12:15:00+13:00,-26.17,0,0.777,2.411,223.5,-1.895,12.71
TARM,2026-07-09T12:00:00+13:00,-27.1,0,2.102,3.508,236.6,-1.883,12.71
TARM,2026-07-09T11:45:00+13:00,-26.49,0,2.107,2.862,257.0,-1.538,12.71
TARM,2026-07-09T11:30:00+13:00,-26.72,0,1.453,2.744,237.9,-2.43,12.71
TARM,2026-07-09T11:15:00+13:00,-26.4,0,1.037,2.019,6.496,-2.254,12.71
TARM,2026-07-09T11:00:00+13:00,-26.42,0,0.992,2.313,342.0,-2.304,12.71
TARM,2026-07-09T10:45:00+13:00,-26.71,0,1.705,3.45,282.9,-1.956,12.71
TARM,2026-07-09T10:30:00+13:00,-26.7,0,1.17,2.234,340.9,-2.381,12.71
TARM,2026-07-09T10:15:00+13:00,-27.39,0,1.411,3.136,338.6,-3.145,12.71
TARM,2026-07-09T10:00:00+13:00,-27.38,0,1.41,3.273,38.59,-4.391,12.71
TARM,2026-07-09T09:45:00+13:00,-23.46,0,3.486,6.233,274.3,-2.468,12.71
TARM,2026-07-09T09:30:00+13:00,-22.86,0,5.283,8.47,266.8,-1.987,12.71
TARM,2026-07-09T09:15:00+13:00,-21.5,0,6.993,11.0,239.2,-1.015,12.71
TARM,2026-07-09T09:00:00+13:00,-22.21,0,5.412,7.781,251.2,-1.71,12.71
TARM,2026-07-09T08:45:00+13:00,-22.03,0,6.165,9.21,233.8,-1.3,12.71
TARM,2026-07-09T08:30:00+13:00,-22.38,0,5.789,8.74,249.2,-1.279,12.71
TARM,2026-07-09T08:15:00+13:00,-22.92,0,5.453,7.056,235.2,-2.132,12.71
TARM,2026-07-09T08:00:00+13:00,-21.57,0,6.153,9.53,231.6,-1.109,12.71
TARM,2026-07-09T07:45:00+13:00,-22.3,0,5.027,6.115,233.8,-1.468,12.71
TARM,2026-07-09T07:30:00+13:00,-22.78,0,6.055,8.04,261.1,-1.263,12.71
TARM,2026-07-09T07:15:00+13:00,-22.79,0,5.524,7.056,252.7,-1.688,12.71
TARM,2026-07-09T07:00:00+13:00,-22.55,0,6.039,8.51,228.2,-1.573,12.71
TARM,2026-07-09T06:45:00+13:00,-21.76,0,6.028,9.0,246.2,-1.178,12.71
