symbol,timestamp_utc,air_temp_3m,rel_hum_3m,wind_spd_avg,wind_spd_max,wind_direction,sw_rad_in,battv_min
VAAM,2026-03-16 20:30:00+00,-33.34,69.26,1.819,2.528,94.3,7.493,12.67
VAAM,2026-03-16 20:15:00+00,-33.1,69.23,1.285,1.823,96.8,9.54,12.65
VAAM,2026-03-16 20:00:00+00,-32.89,69.46,1.26,1.862,92.7,11.26,12.68
VAAM,2026-03-16 19:45:00+00,-32.28,70.14,0.483,1.823,289.0,12.68,12.68
VAAM,2026-03-16 19:30:00+00,-32.76,69.48,1.077,1.725,131.6,14.13,12.68
VAAM,2026-03-16 19:15:00+00,-32.48,69.7,0.983,1.744,95.7,15.4,12.65
VAAM,2026-03-16 19:00:00+00,-32.36,69.75,0.643,1.529,172.9,16.57,12.68
VAAM,2026-03-16 18:45:00+00,-32.26,70.08,0.712,1.568,140.0,17.7,12.68
VAAM,2026-03-16 18:30:00+00,-32.71,69.54,1.837,2.45,87.7,18.72,12.68
VAAM,2026-03-16 18:15:00+00,-32.66,69.46,1.643,2.45,78.67,19.64,12.66
VAAM,2026-03-16 18:00:00+00,-32.19,69.78,0.965,2.038,126.8,20.52,12.68
VAAM,2026-03-16 17:45:00+00,-31.63,69.97,0.175,0.843,270.3,21.27,12.68
VAAM,2026-03-16 17:30:00+00,-31.56,70.05,0.182,0.764,347.1,21.99,12.68
VAAM,2026-03-16 17:15:00+00,-31.21,70.55,0.724,1.431,222.1,22.69,12.66
VAAM,2026-03-16 17:00:00+00,-31.2,70.41,0.654,2.215,68.15,23.38,12.68
VAAM,2026-03-16 16:45:00+00,-31.5,70.47,0.773,1.509,162.1,24.03,12.68
VAAM,2026-03-16 16:30:00+00,-31.45,70.39,1.468,2.372,109.8,24.71,12.69
VAAM,2026-03-16 16:15:00+00,-31.36,70.53,1.92,2.568,90.9,25.32,12.66
VAAM,2026-03-16 16:00:00+00,-31.19,70.73,1.648,2.509,101.6,25.89,12.69
VAAM,2026-03-16 15:45:00+00,-31.42,70.33,1.652,2.411,136.0,26.39,12.69
VAAM,2026-03-16 15:30:00+00,-31.11,70.42,1.014,1.411,105.3,26.85,12.69
VAAM,2026-03-16 15:15:00+00,-31.09,70.36,0.893,1.294,94.9,27.22,12.67
VAAM,2026-03-16 15:00:00+00,-30.88,71.02,1.116,1.607,144.8,27.54,12.69
VAAM,2026-03-16 14:45:00+00,-31.11,70.66,1.323,1.686,131.4,27.79,12.69
VAAM,2026-03-16 14:30:00+00,-31.08,70.84,1.17,1.666,116.5,27.98,12.69
VAAM,2026-03-16 14:15:00+00,-31.46,70.26,1.588,1.94,102.9,28.18,12.67
VAAM,2026-03-16 14:00:00+00,-31.29,70.37,1.328,1.529,108.2,28.48,12.69
VAAM,2026-03-16 13:45:00+00,-30.91,70.42,0.891,1.45,96.5,28.91,12.7
VAAM,2026-03-16 13:30:00+00,-30.58,71.04,1.499,2.43,269.0,29.88,12.7
VAAM,2026-03-16 13:15:00+00,-30.43,70.75,0.791,1.705,343.5,31.39,12.68
VAAM,2026-03-16 13:00:00+00,-30.1,71.18,0.499,1.117,142.7,33.53,12.71
VAAM,2026-03-16 12:45:00+00,-29.85,71.56,1.061,1.607,277.1,31.95,12.7
