symbol,timestamp_utc,air_temp_3m,rel_hum_3m,wind_spd_avg,wind_spd_max,wind_direction,sw_rad_in,battv_min
VIAM,2026-06-18 15:30:00+00,-52.02,54.47,0.149,0.902,280.7,0.001,12.07
VIAM,2026-06-18 15:15:00+00,-52.06,54.38,1.965,2.45,334.5,0.001,12.07
VIAM,2026-06-18 15:00:00+00,-51.94,54.62,1.225,1.999,331.3,0.003,12.07
VIAM,2026-06-18 14:45:00+00,-51.48,55.08,0.918,1.627,45.42,0.003,12.07
VIAM,2026-06-18 14:30:00+00,-51.34,55.02,1.098,2.097,224.1,0.002,12.07
VIAM,2026-06-18 14:15:00+00,-51.97,54.7,1.048,2.019,201.3,0.002,12.07
VIAM,2026-06-18 14:00:00+00,-51.88,54.73,0.655,1.823,72.27,0.003,12.07
VIAM,2026-06-18 13:45:00+00,-52.29,54.46,0.657,1.352,172.6,0.002,12.07
VIAM,2026-06-18 13:30:00+00,-52.17,54.63,0.737,1.705,15.98,0.003,12.07
VIAM,2026-06-18 13:15:00+00,-52.07,54.66,1.246,1.999,349.6,0.002,12.07
VIAM,2026-06-18 13:00:00+00,-52.21,54.56,0.72,1.431,254.2,0.002,12.07
VIAM,2026-06-18 12:45:00+00,-52.46,54.45,0.486,0.98,276.9,0.003,12.06
VIAM,2026-06-18 12:30:00+00,-52.47,54.48,0.523,1.372,276.1,0.001,12.07
VIAM,2026-06-18 12:15:00+00,-52.24,54.6,1.54,2.136,350.2,0.003,12.07
VIAM,2026-06-18 12:00:00+00,-52.72,54.2,1.223,1.999,340.4,0.003,12.07
VIAM,2026-06-18 11:45:00+00,-52.89,54.15,0.875,1.313,293.7,0.001,12.07
VIAM,2026-06-18 11:30:00+00,-52.69,54.3,1.704,2.215,354.5,0.002,12.07
VIAM,2026-06-18 11:15:00+00,-52.52,54.52,0.587,1.784,2.572,0.003,12.07
VIAM,2026-06-18 11:00:00+00,-52.51,54.53,0.024,0.255,99.2,0.002,12.06
VIAM,2026-06-18 10:45:00+00,-52.44,54.5,0.375,1.058,99.0,0.002,12.07
VIAM,2026-06-18 10:30:00+00,-52.72,54.27,0.357,1.313,63.81,0.002,12.07
VIAM,2026-06-18 10:15:00+00,-52.73,54.18,0.259,0.666,354.3,0.002,12.07
VIAM,2026-06-18 10:00:00+00,-53.07,54.03,0.504,1.47,302.1,0.0,12.07
VIAM,2026-06-18 09:45:00+00,-52.75,54.44,0.135,1.117,254.0,0.003,12.07
VIAM,2026-06-18 09:30:00+00,-52.46,54.56,0.023,0.549,232.0,0.004,12.07
VIAM,2026-06-18 09:15:00+00,-52.87,54.29,0.607,1.235,248.0,0.003,12.07
VIAM,2026-06-18 09:00:00+00,-52.77,54.4,0.199,0.686,325.9,0.002,12.07
VIAM,2026-06-18 08:45:00+00,-52.93,54.15,0.906,1.548,321.5,0.001,12.06
VIAM,2026-06-18 08:30:00+00,-53.25,53.92,1.35,1.98,295.9,0.001,12.07
VIAM,2026-06-18 08:15:00+00,-53.34,54.16,1.551,2.274,298.2,0.003,12.07
VIAM,2026-06-18 08:00:00+00,-52.36,54.52,0.672,1.039,299.3,0.001,12.07
VIAM,2026-06-18 07:45:00+00,-53.0,54.14,0.648,0.941,297.0,0.003,12.07
VIAM,2026-06-18 07:30:00+00,-52.75,54.48,0.576,0.843,322.2,0.003,12.07
VIAM,2026-06-18 07:15:00+00,-52.87,54.16,0.623,0.862,357.6,0.001,12.06
VIAM,2026-06-18 07:00:00+00,-53.34,53.85,0.403,0.745,283.0,0.0,12.07
VIAM,2026-06-18 06:45:00+00,-53.27,53.97,1.071,1.45,286.6,0.002,12.06
VIAM,2026-06-18 06:30:00+00,-52.63,54.49,0.273,1.294,292.1,0.002,12.07
